[2025-08-01 20:53:00] 🚀 Monitor del bot iniciado
[2025-08-01 20:53:00] ✅ Bot funcionando correctamente
[2025-08-01 20:55:00] ✅ Bot funcionando correctamente
[2025-08-01 20:57:00] ✅ Bot funcionando correctamente
[2025-08-01 20:59:01] ✅ Bot funcionando correctamente
[2025-08-01 21:01:01] ✅ Bot funcionando correctamente
[2025-08-01 21:03:02] ✅ Bot funcionando correctamente
[2025-08-01 21:05:02] ✅ Bot funcionando correctamente
[2025-08-01 21:07:02] ✅ Bot funcionando correctamente
[2025-08-01 21:09:03] ✅ Bot funcionando correctamente
[2025-08-01 21:11:03] ✅ Bot funcionando correctamente
[2025-08-01 21:13:03] ✅ Bot funcionando correctamente
[2025-08-01 21:15:03] ✅ Bot funcionando correctamente
[2025-08-01 21:17:04] ✅ Bot funcionando correctamente
[2025-08-01 21:17:46] 🚀 Monitor MEJORADO del bot iniciado
[2025-08-01 21:17:47] ⚠️ Error en webhook: Connection timed out
[2025-08-01 21:17:47] 🔄 Reiniciando bot por problema detectado...
[2025-08-01 21:17:57] ✅ Bot reiniciado y webhook reconfigurado
[2025-08-01 21:20:07] 🚀 Monitor MEJORADO del bot iniciado
[2025-08-01 21:20:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:22:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:24:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:24:57] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:26:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:26:57] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:28:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:28:57] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:30:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:30:58] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:32:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:32:58] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:34:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:34:58] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:36:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:36:58] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:38:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:38:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:40:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:40:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:42:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:42:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:44:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:44:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:46:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:46:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:48:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:48:59] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:50:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:51:00] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:52:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:53:00] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:54:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:55:00] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:56:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:57:00] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:58:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 21:59:01] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:00:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:01:02] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:02:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:03:02] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:04:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:05:02] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:06:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:07:03] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:08:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:09:03] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:10:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:11:04] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:12:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:13:04] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:14:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:15:05] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:16:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:17:05] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:18:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:19:06] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:20:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:21:06] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:22:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:23:06] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:24:17] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:25:07] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:26:17] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:27:07] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:28:17] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:29:07] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:30:17] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:31:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:32:18] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:33:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:34:18] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:35:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:36:18] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:37:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:38:18] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:39:08] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:40:18] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:41:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:42:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:43:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:44:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:45:09] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:46:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:47:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:48:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:49:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:50:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:51:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:52:19] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:53:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:54:20] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:55:10] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:56:20] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:57:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:58:20] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 22:59:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:00:20] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:01:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:02:21] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:03:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:04:21] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:05:11] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:06:21] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:07:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:08:21] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:09:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:10:22] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:11:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:12:22] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:13:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:14:22] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:15:12] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:16:22] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:17:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:18:22] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:19:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:20:23] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:21:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:22:23] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:23:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:24:23] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:25:13] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:26:23] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:27:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:28:23] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:29:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:30:24] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:31:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:32:24] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:33:14] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:34:24] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:35:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:36:24] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:37:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:38:24] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:39:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:40:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:41:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:42:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:43:15] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:44:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:45:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:46:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:47:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:48:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:49:16] ✅ Bot verificado: proceso, health check, webhook y logs OK
[2025-08-01 23:50:25] ✅ Bot verificado: proceso, health check, webhook y logs OK
